symbol,name,series
ASAHISONG.NS,Asahi Songwon Colors Limited,EQ
ASAL.NS,Automotive Stampings and Assemblies Limited,EQ
ASALCBR.NS,Associated Alcohols & Breweries Ltd.,EQ
ASHAPURMIN.NS,Ashapura Minechem Limited,EQ
ASHIANA.NS,Ashiana Housing Limited,EQ
ASHIKA.NS,Ashika Credit Capital Limited,EQ
ASHIMASYN.NS,Ashima Limited,EQ
ASHOKA.NS,Ashoka Buildcon Limited,EQ
ASHOKAMET.NS,Ashoka Metcast Limited,EQ
ASHOKLEY.NS,Ashok Leyland Limited,EQ
ASIANENE.NS,Asian Energy Services Limited,EQ
ASIANHOTNR.NS,Asian Hotels (North) Limited,EQ
ASIANPAINT.NS,Asian Paints Limited,EQ
ASIANTILES.NS,Asian Granito India Limited,EQ
ASKAUTOLTD.NS,ASK Automotive Limited,EQ
ASMS.NS,Avio Smart Market Stack Limited,BE
ASPINWALL.NS,Aspinwall and Company Limited,EQ
ASTAR.NS,Asian Star Company Limited,EQ
ASTEC.NS,Astec LifeSciences Limited,EQ
ASTERDM.NS,Aster DM Healthcare Limited,EQ
ASTRAL.NS,Astral Limited,EQ
ASTRAMICRO.NS,Astra Microwave Products Limited,EQ
ASTRAZEN.NS,AstraZeneca Pharma India Limited,EQ
ASTRON.NS,Astron Paper & Board Mill Limited,BE
ATALREAL.NS,Atal Realtech Limited,EQ
ATAM.NS,Atam Valves Limited,EQ
ATGL.NS,Adani Total Gas Limited,EQ
ATHERENERG.NS,Ather Energy Limited,EQ
ATL.NS,Allcargo Terminals Limited,EQ
ATLANTAA.NS,ATLANTAA LIMITED,EQ
ATLANTAELE.NS,Atlanta Electricals Limited,EQ
ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited,EQ
ATUL.NS,Atul Limited,EQ
ATULAUTO.NS,Atul Auto Limited,EQ
AUBANK.NS,AU Small Finance Bank Limited,EQ
AURIONPRO.NS,Aurionpro Solutions Limited,EQ
AUROPHARMA.NS,Aurobindo Pharma Limited,EQ
AURUM.NS,Aurum PropTech Limited,EQ
AUSOMENT.NS,Ausom Enterprise Limited,BE
AUTOAXLES.NS,Automotive Axles Limited,EQ
AUTOIND.NS,Autoline Industries Limited,BE
AVADHSUGAR.NS,Avadh Sugar & Energy Limited,BE
AVALON.NS,Avalon Technologies Limited,EQ
AVANTEL.NS,Avantel Limited,EQ
AVANTIFEED.NS,Avanti Feeds Limited,EQ
AVG.NS,AVG Logistics Limited,BE
AVL.NS,Aditya Vision Limited,EQ
AVONMORE.NS,Avonmore Capital & Management Services Limited,EQ
AVROIND.NS,AVRO INDIA LIMITED,EQ
AVTNPL.NS,AVT Natural Products Limited,EQ
AWFIS.NS,Awfis Space Solutions Limited,EQ
AWHCL.NS,Antony Waste Handling Cell Limited,EQ
AWL.NS,AWL Agri Business Limited,EQ
AXISBANK.NS,Axis Bank Limited,EQ
AXISCADES.NS,AXISCADES Technologies Limited,EQ
AXITA.NS,Axita Cotton Limited,EQ
AYE.NS,Aye Finance Limited,EQ
AYMSYNTEX.NS,AYM Syntex Limited,EQ
AZAD.NS,Azad Engineering Limited,EQ
BAFNAPH.NS,Bafna Pharmaceuticals Limited,BE
BAGFILMS.NS,B.A.G Films and Media Limited,EQ
BAIDFIN.NS,Baid Finserv Limited,EQ
BAJAJ-AUTO.NS,Bajaj Auto Limited,EQ
BAJAJCON.NS,Bajaj Consumer Care Limited,EQ
BAJAJELEC.NS,Bajaj Electricals Limited,EQ
BAJAJFINSV.NS,Bajaj Finserv Limited,EQ
BAJAJHCARE.NS,Bajaj Healthcare Limited,EQ
BAJAJHFL.NS,Bajaj Housing Finance Limited,EQ
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,EQ
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,EQ
BAJAJINDEF.NS,Indef Manufacturing Limited,EQ
BAJAJST.NS,Bajaj Steel Industries Limited,EQ
BAJEL.NS,Bajel Projects Limited,EQ
BAJFINANCE.NS,Bajaj Finance Limited,EQ
BALAJEE.NS,Shree Tirupati Balajee Agro Trading Company Limited,EQ
BALAJITELE.NS,Balaji Telefilms Limited,EQ
BALAMINES.NS,Balaji Amines Limited,EQ
BALAXI.NS,BALAXI PHARMACEUTICALS LIMITED,BE
BALKRISHNA.NS,Balkrishna Paper Mills Limited,EQ
BALKRISIND.NS,Balkrishna Industries Limited,EQ
BALMLAWRIE.NS,Balmer Lawrie & Company Limited,EQ
BALPHARMA.NS,Bal Pharma Limited,EQ
BALRAMCHIN.NS,Balrampur Chini Mills Limited,EQ
BALUFORGE.NS,Balu Forge Industries Limited,EQ
BANARBEADS.NS,Banaras Beads Limited,EQ
BANARISUG.NS,Bannari Amman Sugars Limited,EQ
BANCOINDIA.NS,Banco Products (I) Limited,EQ
BANDHANBNK.NS,Bandhan Bank Limited,EQ
BANG.NS,Bang Overseas Limited,EQ
BANKA.NS,Banka BioLoo Limited,BE
BANKBARODA.NS,Bank of Baroda,EQ
BANKINDIA.NS,Bank of India,EQ
BANSALWIRE.NS,Bansal Wire Industries Limited,EQ
BANSWRAS.NS,Banswara Syntex Limited,EQ
BASF.NS,BASF India Limited,EQ
BASML.NS,Bannari Amman Spinning Mills Limited,BE
BATAINDIA.NS,Bata India Limited,EQ
BATLIBOI.NS,Batliboi Limited,EQ
BAYERCROP.NS,Bayer Cropscience Limited,EQ
BBL.NS,Bharat Bijlee Limited,EQ
BBOX.NS,Black Box Limited,EQ
BBTC.NS,The Bombay Burmah Trading Corporation Limited,EQ
BBTCL.NS,B&B Triplewall Containers Limited,EQ
BCG.NS,Brightcom Group Limited,EQ
